event_id,account_id,product_code,recognized_amount,usage_date,loaded_at
E1,A1,SMS,30000,2026-01-15,2026-06-20
E2,A1,SMS,220000,2026-05-15,2026-06-20
E3,A2,VOICE,100000,2026-02-15,2026-06-20
E4,A2,VOICE,100000,2026-03-15,2026-06-20
E5,A3,SMS,90000,2026-01-15,2026-06-20
E6,A3,SMS,60000,2026-04-15,2026-06-20
E7,A4,VOICE,75000,2026-04-15,2026-06-20
E8,A4,VOICE,105000,2026-06-15,2026-06-20
E9,A5,SMS,30000,2026-02-15,2026-06-20
E10,A5,SMS,25000,2026-03-15,2026-06-20
E11,A5,SMS,40000,2026-05-15,2026-06-20
E12,A5,SMS,25000,2026-06-15,2026-06-20
